token,count
accounting,1224
financial,1082
accounts,798
state,788
company,777
city,680
city state,638
management,586
accountant,531
reports,477
tax,433
monthly,431
general,383
business,373
skills,362
payroll,357
analysis,354
ï¼,338
cash,332
ï¼ city,327
reporting,327
account,320
ledger,314
bank,302
statements,295
end,293
office,285
general ledger,264
sales,254
company ï¼,238
including,236
prepare,234
experience,233
prepared,230
budget,229
entries,227
information,222
reconciliations,222
payable,222
financial statements,222
