token,count
state,921
city,832
city state,799
customer,741
company,730
service,541
skills,510
management,478
ï¼,414
ï¼ city,396
sales,339
customer service,314
care,301
team,296
training,287
company ï¼,284
information,273
experience,272
customers,265
staff,264
company city,264
new,262
services,261
clients,260
advocate,260
office,251
education,248
health,245
patient,242
business,240
work,231
client,224
professional,211
medical,206
community,204
support,202
needs,196
issues,188
2014,187
university,181
