token,count
state,465
city,403
city state,361
company,350
management,283
skills,200
development,199
program,174
project,171
education,170
university,169
team,166
data,164
experience,161
research,152
company city,146
ï¼,136
agriculture,136
training,131
work,130
ï¼ city,125
science,125
office,119
professional,119
customer,118
business,116
community,111
students,110
information,110
new,109
service,108
developed,108
2013,105
health,103
planning,102
school,98
staff,95
student,94
public,93
quality,91
