token,count
state,740
company,733
city,729
city state,707
sales,647
customer,459
ï¼,417
ï¼ city,386
store,326
product,320
management,313
company ï¼,307
service,296
new,291
manager,288
team,276
skills,272
business,268
development,252
customers,251
marketing,222
design,213
company city,211
work,209
inventory,207
experience,207
production,202
customer service,201
office,187
training,176
including,157
process,154
quality,154
merchandise,150
managed,150
cash,144
professional,138
merchandising,138
maintained,138
responsible,137
