token,count
management,773
business,692
state,683
company,672
city,626
city state,584
sales,540
financial,516
customer,457
banking,409
service,403
new,378
team,374
skills,358
ï¼,327
client,317
project,302
ï¼ city,302
development,280
clients,277
manager,272
bank,259
experience,257
analysis,235
training,231
company ï¼,228
credit,221
loan,216
work,208
process,203
office,203
services,201
marketing,197
data,194
quality,194
company city,192
customer service,188
information,188
responsible,186
operations,181
