token,count
sales,1449
business,1196
company,830
state,793
development,772
city,717
city state,678
management,630
marketing,626
new,612
customer,530
business development,512
manager,364
ï¼,319
service,307
skills,306
client,294
company city,288
ï¼ city,288
team,284
training,267
market,258
clients,253
experience,250
developed,242
product,242
company ï¼,230
accounts,227
account,225
strategic,217
managed,214
customers,208
revenue,206
professional,202
services,199
university,183
including,183
january,181
relationships,171
support,170
