token,count
construction,1341
project,1060
state,730
city,725
company,693
city state,635
management,631
projects,480
work,460
safety,387
manager,363
skills,349
ï¼,309
site,308
ï¼ city,303
equipment,292
new,284
team,277
design,260
materials,244
experience,242
company ï¼,237
company city,236
operations,232
building,224
quality,222
engineering,215
development,211
customer,211
including,209
cost,197
managed,196
office,185
business,179
service,176
time,172
budget,171
general,169
professional,168
training,165
