token,count
state,830
city,743
city state,710
company,682
management,679
care,543
healthcare,476
patient,474
medical,468
customer,428
skills,407
health,397
business,384
sales,349
new,335
patients,330
team,315
service,312
information,297
ï¼,293
services,287
ï¼ city,287
company city,274
training,274
data,273
staff,266
experience,264
development,261
support,254
quality,251
professional,248
office,244
provided,226
work,225
clients,224
education,208
project,204
company ï¼,201
client,197
developed,197
