token,count
management,895
information,860
systems,743
technology,739
support,673
network,669
company,651
state,638
city,616
city state,566
project,565
data,558
business,553
software,541
information technology,466
security,431
microsoft,375
server,374
technical,358
new,355
windows,352
development,346
team,329
hardware,321
experience,315
skills,303
computer,301
customer,297
training,290
database,286
ï¼,271
service,267
office,258
including,257
ï¼ city,256
manager,249
application,247
sql,236
design,234
using,217
