token,count
media,852
company,806
relations,749
public,742
marketing,732
state,699
city,679
city state,598
public relations,542
management,496
events,416
communications,387
press,347
sales,331
ï¼,323
ï¼ city,314
including,306
skills,301
development,300
business,291
social,288
communication,268
new,267
experience,260
managed,248
manager,248
team,247
customer,246
company ï¼,244
social media,238
clients,235
project,233
event,225
university,225
office,223
developed,223
service,208
research,206
company city,200
content,197
