token,count
sales,1337
customer,830
company,748
state,745
city,713
city state,694
customers,598
service,537
skills,423
management,367
ï¼,352
ï¼ city,337
customer service,316
new,309
store,299
team,269
company city,265
business,254
experience,254
company ï¼,250
high,232
training,232
product,219
work,210
cash,194
associate,188
information,188
manager,187
products,185
marketing,183
inventory,180
merchandise,176
maintained,163
sales associate,158
staff,156
needs,153
school,153
communication,152
office,149
2014,148
